player,FG_URL,position,fangraphs_id,mlbam_id,franchise_abbr,HTD
Derek Law ,https://www.fangraphs.com/players/Derek-Law/13133/stats,P,13133,571882,TEX,2
Casey Lawrence ,https://www.fangraphs.com/players/Casey-Lawrence/11121/stats,P,11121,596271,NYY,0
Kyle Leahy ,https://www.fangraphs.com/players/Kyle-Leahy/24763/stats,P,24763,681517,BAL,1
Charles Leblanc ,https://www.fangraphs.com/players/Charles-Leblanc/19813/stats,3B,19813,641779,MIL,0
Mark Leiter ,https://www.fangraphs.com/players/Mark-Leiter/15551/stats,P,15551,643410,HOU,2
D.J. LeMahieu ,https://www.fangraphs.com/players/D.J.-LeMahieu/9874/stats,2B,9874,518934,NYY,1
Sandy Leon ,https://www.fangraphs.com/players/Sandy-Leon/5273/stats,C,5273,506702,NYY,1
Dominic Leone ,https://www.fangraphs.com/players/Dominic-Leone/13763/stats,P,13763,608678,CHC,1
Francisco Lindor ,https://www.fangraphs.com/players/Francisco-Lindor/12916/stats,SS,12916,596019,ARI,0
Trey Lipscomb ,https://www.fangraphs.com/players/Trey-Lipscomb/31567/stats,3B,31567,702358,CLE,0
Evan Longoria ,https://www.fangraphs.com/players/Evan-Longoria/9368/stats,3B,9368,446334,BAL,1
Alejo Lopez ,https://www.fangraphs.com/players/Alejo-Lopez/21127/stats,2B,21127,664670,ATL,1
Jorge Lopez ,https://www.fangraphs.com/players/Jorge-Lopez/14527/stats,P,14527,605347,ATL,0
Michael Lorenzen ,https://www.fangraphs.com/players/Michael-Lorenzen/14843/stats,P,14843,547179,COL,1
Aaron Loup ,https://www.fangraphs.com/players/Aaron-Loup/10343/stats,P,10343,571901,PHI,1
Lucas Luetge ,https://www.fangraphs.com/players/Lucas-Luetge/8337/stats,P,8337,476595,TOR,0
Seth Lugo ,https://www.fangraphs.com/players/Seth-Lugo/12447/stats,P,12447,607625,SF,2
Jordan Lyles ,https://www.fangraphs.com/players/Jordan-Lyles/7593/stats,P,7593,543475,COL,0
Lance Lynn ,https://www.fangraphs.com/players/Lance-Lynn/2520/stats,P,2520,458681,COL,2
Andres Machado ,https://www.fangraphs.com/players/Andres-Machado/14681/stats,P,14681,600921,WAS,2
Bligh Madris ,https://www.fangraphs.com/players/Bligh-Madris/20054/stats,CF,20054,676632,COL,2
Kenta Maeda ,https://www.fangraphs.com/players/Kenta-Maeda/18498/stats,P,18498,628317,TB,0
Luke Maile ,https://www.fangraphs.com/players/Luke-Maile/13355/stats,C,13355,571912,PHI,1
Martin Maldonado ,https://www.fangraphs.com/players/Martin-Maldonado/6887/stats,C,6887,455117,ATL,2
Joe Mantiply ,https://www.fangraphs.com/players/Joe-Mantiply/14857/stats,P,14857,573009,TEX,1
Jake Marisnick ,https://www.fangraphs.com/players/Jake-Marisnick/11339/stats,CF,11339,545350,PIT,1
